
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 11.445ms    AS7660 203.181.248.0/23
2 203.181.102.129 () 0.477ms    AS2516 203.181.96.0/19
3 27.85.199.201 () 3.178ms    AS2516 27.85.0.0/16
4 106.187.13.18 (sjegcs002.int-gw.kddi.ne.jp) 105.47ms    AS2516 106.187.0.0/18
5 111.87.3.118 () 102.612ms    AS2516 111.87.0.0/17
6 208.116.132.73 () 113.825ms    AS3257 208.116.128.0/17
7 89.149.137.217 (xe-9-1-0.cr1-lon1.ip4.gtt.net) 230.159ms    AS3257 89.149.128.0/18
8 46.33.78.58 (ip4.gtt.net) 296.128ms    AS3257 46.33.64.0/19
9 170.238.232.51 () 255.332ms    AS37468 170.238.232.50/31
10 170.238.232.38 (pe2-nc022.br.ftz.as37468.angolacables.ao) 329.778ms    AS37468 170.238.232.36/30
11 170.238.233.17 () 330.259ms    AS37468 170.238.233.16/30
12 200.219.146.181 () 321.612ms    AS3549 200.219.146.0/24

1561530796.42; 2019-06-25 23:33:16.416697;  nrt-jp--203.181.248.51--AS7660; 186.249.248.143--186.249.248.0/24--AS263570; 115652

1561530799.76; 2019-06-25 23:33:19.760691;  nrt-jp--203.181.248.51--AS7660; 179.106.152.59--179.106.152.0/24--AS52537; 115653
src=203.181.248.51 dst=179.106.152.59
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 0.259ms    AS7660 203.181.248.0/23
2 203.181.249.21 (tyo-vyatta-eth0-7.jp.apan.net) 0.217ms    AS7660 203.181.248.0/23
3 203.181.102.129 () 0.442ms    AS2516 203.181.96.0/19
4 27.85.199.201 () 1.782ms    AS2516 27.85.0.0/16
5 106.187.13.10 () 102.589ms    AS2516 106.187.0.0/18
6 111.87.3.230 () 99.717ms    AS2516 111.87.0.0/17
7 208.116.132.73 () 99.895ms    AS3257 208.116.128.0/17
8 89.149.137.217 (xe-9-1-0.cr1-lon1.ip4.gtt.net) 227.3ms    AS3257 89.149.128.0/18
9 46.33.78.58 (ip4.gtt.net) 293.08ms    AS3257 46.33.64.0/19
10 170.238.232.25 () 252.305ms    AS37468 170.238.232.24/30
11 170.238.232.22 (pe1-nce012.br.spa.as37468.angolacables.ao) 370.593ms    AS37468 170.238.232.20/30
12 186.235.68.19 (71d626ccb9c91b3dfe2e04e3c4848ba8.conectinfo.net.br) 384.407ms    AS262725 186.235.68.0/24
13 186.192.2.90 (f22eab31e6985f98c334680c3a3777c0.conectinfo.net.br) 382.943ms    AS262725 186.192.2.0/24
14 179.106.152.59 () 388.061ms    AS52537 179.106.152.0/24

1561530803.16; 2019-06-25 23:33:23.156713;  cjj-kr--150.183.95.135--AS1237; 177.52.214.140--177.52.214.0/23--AS52800; 115654
src=150.183.95.135 dst=177.52.214.140
1 150.183.95.1 () 0.175ms    AS1237 150.183.0.0/16
2 134.75.23.1 () 0.222ms    AS1237 134.75.0.0/16
3 134.75.5.197 () 0.218ms    AS1237 134.75.0.0/16
4 134.75.2.1 () 2.822ms    AS1237 134.75.0.0/16
5 134.75.5.210 () 2.926ms    AS1237 134.75.0.0/16
