
9 45.195.4.66 () 184.166ms    AS37468 45.195.4.64/30
10 185.148.112.157 (pe1-nce017.pt.lis.as37468.angolacables.ao) 326.456ms    AS37468 185.148.112.156/30
11 197.149.151.46 () 453.037ms    AS37468 197.149.148.0/22
12 41.74.240.122 () 417.186ms    AS11259 41.74.240.0/20
13 197.216.102.14 () 417.853ms    AS11259 197.216.0.0/15
14 41.210.240.104 () 419.063ms    AS37081 41.210.192.0/18
15 41.210.240.155 () 433.502ms    AS37081 41.210.192.0/18
16 41.210.240.154 () 418.867ms    AS37081 41.210.192.0/18
17 41.210.240.155 () 423.34ms    AS37081 41.210.192.0/18

1561537266.47; 2019-06-26 01:21:06.465048;  hkg-cn--213.254.227.26--AS3257; 41.222.239.140--41.222.239.0/24--AS37011; 116800
src=213.254.227.26 dst=41.222.239.140
1 213.254.227.25 (ae1-46.cr1-hkg1.ip4.gtt.net) 0.26ms    AS8928 213.254.227.0/24
2 213.200.115.165 () 164.759ms    AS3257 213.200.64.0/18
3 77.67.74.2 (portugal-telecom-gw.ip4.gtt.net) 177.473ms    AS3257 77.67.0.0/17
4 195.8.1.61 (lis1-cr1-hu12-0-0.cprm.net) 205.752ms    AS8657 195.8.0.0/19
5 195.8.10.202 (angolatelecom1.cprm.net) 318.017ms    AS8657 195.8.0.0/19
6 41.74.240.122 () 313.47ms    AS11259 41.74.240.0/20
7 197.216.102.38 () 313.426ms    AS11259 197.216.0.0/15
8 41.222.238.26 () 313.417ms    AS37011 41.222.238.0/24
9 41.222.238.84 () 313.99ms    AS37011 41.222.238.0/24

1561537269.82; 2019-06-26 01:21:09.816791;  sin2-sg--202.6.102.35--AS45494; 41.72.60.161--41.72.60.0/23--AS37155; 116801

1561537273.16; 2019-06-26 01:21:13.160908;  nrt-jp--203.181.248.51--AS7660; 154.127.236.250--154.127.224.0/20--AS36907; 116802
src=203.181.248.51 dst=154.127.236.250
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 0.25ms    AS7660 203.181.248.0/23

1561537279.72; 2019-06-26 01:21:19.724889;  nrt-jp--203.181.248.51--AS7660; 41.70.166.155--41.70.128.0/18--AS37081; 116803
src=203.181.248.51 dst=41.70.166.155
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 0.208ms    AS7660 203.181.248.0/23
2 203.181.249.39 (nictixp1-vlan7.jp.apan.net) 0.426ms    AS7660 203.181.248.0/23
3 210.171.224.40 (as6939.ix.jpix.ad.jp) 0.63ms    AS4775 210.171.224.0/23
4 184.105.213.117 (100ge11-1.core1.sea1.he.net) 81.975ms    AS6939 184.104.0.0/15
5 184.105.223.194 (100ge4-2.core1.msp1.he.net) 129.586ms    AS6939 184.104.0.0/15
6 184.105.223.177 (100ge13-1.core2.chi1.he.net) 122.767ms    AS6939 184.104.0.0/15
7 184.105.223.162 (100ge16-1.core1.nyc4.he.net) 141.784ms    AS6939 184.104.0.0/15
8 72.52.92.165 (100ge16-2.core1.lon2.he.net) 206.552ms    AS6939 72.52.92.0/24
9 184.105.64.238 (100ge4-1.core1.lon3.he.net) 205.472ms    AS6939 184.104.0.0/15
10 216.66.87.106 (vuetel-italia-spa.10gigabitethernet11-10.core1.lon3.he.net) 212.797ms    AS6939 216.66.80.0/20
11 185.98.161.2 () 361.452ms    AS200507 185.98.160.0/22
